active_debris_updated,,,,,,,,,,,,,,,,,,,,,,,,
INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER,satname
1976-038E,8839,DEBRIS,OPS 6431 DEB,US,1976-04-30,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,38,E,Y,OPS 6431 DEB,1976-038E,8839,
1976-038F,8842,DEBRIS,OPS 6431 DEB,US,1976-04-30,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,38,F,Y,OPS 6431 DEB,1976-038F,8842,
1976-038H,8859,DEBRIS,OPS 6431 DEB,US,1976-04-30,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,38,H,Y,OPS 6431 DEB,1976-038H,8859,
1976-059D,8919,DEBRIS,OPS 2112 DEB,US,1976-06-26,AFETR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,59,D,Y,OPS 2112 DEB,1976-059D,8919,
1976-091B,9419,DEBRIS,OPS 5721 DEB,US,1976-09-11,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,91,B,Y,OPS 5721 DEB,1976-091B,9419,
1976-091C,9420,DEBRIS,OPS 5721 DEB,US,1976-09-11,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,91,C,Y,OPS 5721 DEB,1976-091C,9420,
1976-091F,9484,DEBRIS,OPS 5721 DEB,US,1976-09-11,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,91,F,Y,OPS 5721 DEB,1976-091F,9484,
1976-091G,9518,DEBRIS,OPS 5721 DEB,US,1976-09-11,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,91,G,Y,OPS 5721 DEB,1976-091G,9518,
1976-038K,9796,DEBRIS,OPS 6431 DEB,US,1976-04-30,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,38,K,Y,OPS 6431 DEB,1976-038K,9796,
1976-038L,9996,DEBRIS,OPS 6431 DEB,US,1976-04-30,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,38,L,Y,OPS 6431 DEB,1976-038L,9996,
1977-044B,10034,DEBRIS,OPS 5644 DEB,US,1977-06-05,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1977,44,B,Y,OPS 5644 DEB,1977-044B,10034,
1977-044C,10037,DEBRIS,OPS 5644 DEB,US,1977-06-05,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1977,44,C,Y,OPS 5644 DEB,1977-044C,10037,
1977-044D,10085,DEBRIS,OPS 5644 DEB,US,1977-06-05,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1977,44,D,Y,OPS 5644 DEB,1977-044D,10085,
1977-112C,10528,DEBRIS,OPS 8781 DEB,US,1977-12-08,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1977,112,C,Y,OPS 8781 DEB,1977-112C,10528,
1977-112G,10595,DEBRIS,OPS 8781 DEB,US,1977-12-08,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1977,112,G,Y,OPS 8781 DEB,1977-112G,10595,
1979-050B,11403,DEBRIS,OPS 5390 DEB,US,1979-06-06,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1979,50,B,Y,OPS 5390 DEB,1979-050B,11403,
1979-050C,11408,DEBRIS,OPS 5390 DEB,US,1979-06-06,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1979,50,C,Y,OPS 5390 DEB,1979-050C,11408,
1979-050D,11410,DEBRIS,OPS 5390 DEB,US,1979-06-06,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1979,50,D,Y,OPS 5390 DEB,1979-050D,11410,
1979-050G,11534,DEBRIS,OPS 5390 DEB,US,1979-06-06,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1979,50,G,Y,OPS 5390 DEB,1979-050G,11534,
1980-019E,11733,DEBRIS,OPS 7245 DEB,US,1980-03-03,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1980,19,E,Y,OPS 7245 DEB,1980-019E,11733,
1980-019F,11734,DEBRIS,OPS 7245 DEB,US,1980-03-03,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1980,19,F,Y,OPS 7245 DEB,1980-019F,11734,
