object_id,satellite_name,launch_year,launch_mass_kg,dry_mass_kg,operator,country,purpose,orbit_type,perigee_km,apogee_km,inclination_deg,bus_family,mass_source,mass_confidence,dominant_material_1,dominant_material_fraction_1,dominant_material_2,dominant_material_fraction_2,dominant_material_3,dominant_material_fraction_3
22049,Geotail (Geomagnetic Tail Laboratory),1992,980.0,686.0,Multinational,Japan,Space Science,Unknown,"49,551","1,91,451",9.39,NASA/Goddard Space Flight Center,UCS Database,0.9,Phenolic Composite,0.56,Teflon (PTFE),0.316,Indium Phosphide (InP),0.124
22491,SCD-1 (Satélite de Coleta de Dados),1993,110.0,79.2,Brazil,Brazil,Earth Observation,LEO,716,776,25.0,Instituto Nacional de Pesquisas Espaciais (INPE),UCS Database,0.9,Gallium Nitride (GaN),0.435,Tungsten Masses,0.301,Polyethylene (HDPE),0.264
25119,ORBCOMM FM-7 (ORBCOMM A8),1997,45.0,32.4,USA,USA,Communications,LEO,771,774,45.0,Orbital Sciences Corp.,UCS Database,0.9,Magnesium Alloy AZ31,0.454,Silver Coating,0.204,Nickel-Hydrogen Battery Cells,0.342
25113,ORBCOMM FM-10 (ORBCOMM A2),1997,45.0,32.4,USA,USA,Communications,LEO,770,776,45.0,Orbital Sciences Corp.,UCS Database,0.9,Glass Fiber Reinforced Polymer,0.426,Beryllium-Copper Alloy,0.204,CFRP Structural Tubes,0.37
25114,ORBCOMM FM-11 (ORBCOMM A3),1997,45.0,32.4,USA,USA,Communications,LEO,769,777,45.0,Orbital Sciences Corp.,UCS Database,0.9,Solder Alloy Sn-Pb,0.545,Beryllium-Copper Alloy,0.263,Molybdenum Structure,0.192
25115,ORBCOMM FM-12 (ORBCOMM A4),1997,45.0,32.4,USA,USA,Communications,LEO,770,776,45.0,Orbital Sciences Corp.,UCS Database,0.9,Kapton Polyimide,0.48,Borosilicate Glass,0.239,Nomex Honeycomb,0.281
24920,FORTÉ (Fast On-orbit Recording of Transient Events),1997,215.0,154.8,USA,USA,Earth Observation,LEO,790,823,70.0,Los Alamos National Laboratory/Sandia National Laboratory,UCS Database,0.9,CFRP Structural Tubes,0.584,Inconel 625,0.243,Multi-Layer Insulation Foil,0.173
25116,ORBCOMM FM-9 (ORBCOMM A5),1997,45.0,32.4,USA,USA,Communications,LEO,769,777,45.0,Orbital Sciences Corp.,UCS Database,0.9,Epoxy Composite,0.408,Polyethylene (HDPE),0.3,Inconel 625,0.292
25117,ORBCOMM FM-5 (ORBCOMM A6),1997,45.0,32.4,USA,USA,Communications,LEO,772,774,45.0,Orbital Sciences Corp.,UCS Database,0.9,Silver Coating,0.492,Carbon Fiber Reinforced Polymer,0.28,Ceramic Thermal Tiles,0.228
25112,ORBCOMM FM-8 (ORBCOMM A1),1997,45.0,32.4,USA,USA,Communications,LEO,768,778,45.0,Orbital Sciences Corp.,UCS Database,0.9,Inconel 625,0.598,Quartz Glass,0.268,Solder Alloy Sn-Pb,0.134
25118,ORBCOMM FM-6 (ORBCOMM A7),1997,45.0,32.4,USA,USA,Communications,LEO,772,774,45.0,Orbital Sciences Corp.,UCS Database,0.9,Polyethylene (HDPE),0.511,PCB FR-4 Substrate,0.212,Glass Fiber Reinforced Polymer,0.277
25420,ORBCOMM FM-13 (ORBCOMM B1),1998,45.0,,USA,USA,Communications,LEO,788,795,45.0,Orbital Sciences Corp.,UCS Database,0.9,,,,,,
25419,ORBCOMM FM-14 (ORBCOMM B2),1998,45.0,32.4,USA,USA,Communications,LEO,789,794,45.0,Orbital Sciences Corp.,UCS Database,0.9,Magnesium Alloy AZ80,0.598,Phenolic Composite,0.253,Polypropylene,0.149
25159,ORBCOMM FM-4 (ORBCOMM G2),1998,45.0,32.4,USA,USA,Communications,LEO,768,838,108.0,Orbital Sciences Corp.,UCS Database,0.9,Aluminum Honeycomb,0.447,Glass Fiber Reinforced Polymer,0.215,Stainless Steel 316,0.338
25418,ORBCOMM FM-15 (ORBCOMM B3),1998,45.0,,USA,USA,Communications,LEO,788,795,45.0,Orbital Sciences Corp.,UCS Database,0.9,,,,,,
25481,ORBCOMM FM-27 (ORBCOMM C7),1998,45.0,,USA,USA,Communications,LEO,790,792,45.0,Orbital Sciences Corp.,UCS Database,0.9,,,,,,
